#Parameters = {Wa=0.24; La=0.48; BoxHeight=30.534351145038; BoxThickness=0.1; BoxWidth=72; L=5.089058524173; c=300000000; d=6; f=12.5; g=0.48; lam=24; r=0.24}
#"Frequency / GHz"	"E-Field (120 0 0)(Z) [1[1,0]+2[1,0],[12.5]] [Magnitude]"
#---------------------------------------------------------------------------
1.0000000000000	-169.23263211629
1.0240000000000	-175.88113724606
1.0480000000000	-173.27935120556
1.0720000000000	-167.83168923137
1.0960000000000	-165.16476314201
1.1200000000000	-164.07064781741
1.1440000000000	-163.84110840685
1.1680000000000	-163.60790733120
1.1920000000000	-162.45130655053
1.2160000000000	-160.53609614342
1.2400000000000	-158.68918759764
1.2640000000000	-157.35034318612
1.2880000000000	-156.61729038311
1.3120000000000	-156.45151768603
1.3360000000000	-156.71880234935
1.3600000000000	-157.13240248155
1.3840000000000	-157.25638930504
1.4080000000000	-156.82854104319
1.4320000000000	-156.07744286291
1.4560000000000	-155.42803397433
1.4800000000000	-155.15248375418
1.5040000000000	-155.33827475895
1.5280000000000	-155.91631825733
1.5520000000000	-156.61113970374
1.5760000000000	-156.94015253526
1.6000000000000	-156.60920315283
1.6240000000000	-155.90704365150
1.6480000000000	-155.31499448406
1.6720000000000	-155.09691463243
1.6960000000000	-155.27742548113
1.7200000000000	-155.66349076870
1.7440000000000	-155.84794495201
1.7680000000000	-155.46883637835
1.7920000000000	-154.63466933998
1.8160000000000	-153.76477243598
1.8400000000000	-153.15912268732
1.8640000000000	-152.90174443315
1.8880000000000	-152.90899555059
1.9120000000000	-152.96218650517
1.9360000000000	-152.79635203833
1.9600000000000	-152.30745756455
1.9840000000000	-151.65081452911
2.0080000000000	-151.07044868432
2.0320000000000	-150.72255796327
2.0560000000000	-150.63448343903
2.0800000000000	-150.71553778333
2.1040000000000	-150.78356725511
2.1280000000000	-150.65586739496
2.1520000000000	-150.29377911291
2.1760000000000	-149.83340857023
2.2000000000000	-149.45576723494
2.2240000000000	-149.26816678586
2.2480000000000	-149.26914611294
2.2720000000000	-149.35446091223
2.2960000000000	-149.35848227404
2.3200000000000	-149.15835736333
2.3440000000000	-148.77719495218
2.3680000000000	-148.35669132766
2.3920000000000	-148.03754948130
2.4160000000000	-147.88054263501
2.4400000000000	-147.85050277220
2.4640000000000	-147.83569735909
2.4880000000000	-147.70759439965
2.5120000000000	-147.41282698996
2.5360000000000	-147.01536616284
2.5600000000000	-146.63700349378
2.5840000000000	-146.36999072011
2.6080000000000	-146.23355315016
2.6320000000000	-146.17246127455
2.6560000000000	-146.08616719685
2.6800000000000	-145.88951906866
2.7040000000000	-145.57464531104
2.7280000000000	-145.21330479516
2.7520000000000	-144.89794585860
2.7760000000000	-144.68313517376
2.8000000000000	-144.56194504843
2.8240000000000	-144.47346041009
2.8480000000000	-144.33696263330
2.8720000000000	-144.10413813647
2.8960000000000	-143.79319840286
2.9200000000000	-143.47134972427
2.9440000000000	-143.20522589744
2.9680000000000	-143.02249157398
2.9920000000000	-142.90106826353
3.0160000000000	-142.78321782290
3.0400000000000	-142.61003535229
3.0640000000000	-142.36056070339
3.0880000000000	-142.06499482380
3.1120000000000	-141.77997248713
3.1360000000000	-141.55019531075
3.1600000000000	-141.38425114387
3.1840000000000	-141.25263352484
3.2080000000000	-141.10569925821
3.2320000000000	-140.90460377575
3.2560000000000	-140.64697915469
3.2800000000000	-140.36660049394
3.3040000000000	-140.10820347459
3.3280000000000	-139.89931970677
3.3520000000000	-139.73636610511
3.3760000000000	-139.58871784497
3.4000000000000	-139.41769170838
3.4240000000000	-139.20123779960
3.4480000000000	-138.94802066332
3.4720000000000	-138.68985711560
3.4960000000000	-138.45974504341
3.5200000000000	-138.27230124637
3.5440000000000	-138.11696906798
3.5680000000000	-137.96541205203
3.5920000000000	-137.78909608531
3.6160000000000	-137.57737345194
3.6400000000000	-137.34359097028
3.6640000000000	-137.11484815341
3.6880000000000	-136.91408482450
3.7120000000000	-136.74682270461
3.7360000000000	-136.59900712787
3.7600000000000	-136.44599169087
3.7840000000000	-136.26785826134
3.8080000000000	-136.06186197782
3.8320000000000	-135.84328197897
3.8560000000000	-135.63447900335
3.8800000000000	-135.45067844794
3.9040000000000	-135.29147345060
3.9280000000000	-135.14192184361
3.9520000000000	-134.98205548677
3.9760000000000	-134.79942788154
4.0000000000000	-134.59674364016
4.0240000000000	-134.38932365125
4.0480000000000	-134.19470711150
4.0720000000000	-134.02189863388
4.0960000000000	-133.86659079000
4.1200000000000	-133.71437080065
4.1440000000000	-133.54981855687
4.1680000000000	-133.36612356684
