#Parameters = {BoxHeight=30.534351145038; BoxThickness=0.1; BoxWidth=72; L=5.089058524173; La=12; Wa=0.24; c=300000000; d=6; f=12.5; g=0.48; lam=24; r=0.24}
#"Frequency / GHz"	"E-Field (120 0 0)(Z) [1[1,0]+2[1,0],[12.5]] [Magnitude]"
#---------------------------------------------------------------------------
1.0000000000000	-134.38601911517
1.0240000000000	-136.67575691663
1.0480000000000	-139.20040046061
1.0720000000000	-141.72451847866
1.0960000000000	-144.50515103403
1.1200000000000	-149.16352921371
1.1440000000000	-163.61805052557
1.1680000000000	-148.26538784799
1.1920000000000	-141.65653325903
1.2160000000000	-137.97741274584
1.2400000000000	-135.67849363443
1.2640000000000	-134.22646233302
1.2880000000000	-133.30982780313
1.3120000000000	-132.66203300123
1.3360000000000	-132.03954670760
1.3600000000000	-131.29755985912
1.3840000000000	-130.45779028170
1.4080000000000	-129.65261159234
1.4320000000000	-129.00998474775
1.4560000000000	-128.59141943820
1.4800000000000	-128.38334381207
1.5040000000000	-128.30644525472
1.5280000000000	-128.24044047599
1.5520000000000	-128.08017448603
1.5760000000000	-127.80259807846
1.6000000000000	-127.47804093702
1.6240000000000	-127.21080501371
1.6480000000000	-127.07274117627
1.6720000000000	-127.07146863816
1.6960000000000	-127.14808346363
1.7200000000000	-127.20080411855
1.7440000000000	-127.14109085052
1.7680000000000	-126.95602001186
1.7920000000000	-126.71495936317
1.8160000000000	-126.51191372098
1.8400000000000	-126.40366776869
1.8640000000000	-126.38208692192
1.8880000000000	-126.37951731335
1.9120000000000	-126.30548615471
1.9360000000000	-126.10673481479
1.9600000000000	-125.80657294597
1.9840000000000	-125.48214963864
2.0080000000000	-125.20596105164
2.0320000000000	-125.00421240616
2.0560000000000	-124.84873814072
2.0800000000000	-124.67701551366
2.1040000000000	-124.43272448207
2.1280000000000	-124.10513860284
2.1520000000000	-123.73476678343
2.1760000000000	-123.38142583083
2.2000000000000	-123.08609807170
2.2240000000000	-122.85193452897
2.2480000000000	-122.64769673383
2.2720000000000	-122.42854875228
2.2960000000000	-122.16482167171
2.3200000000000	-121.86104971324
2.3440000000000	-121.55066317313
2.3680000000000	-121.27227002725
2.3920000000000	-121.04674303847
2.4160000000000	-120.86761818355
2.4400000000000	-120.70658726726
2.4640000000000	-120.53059442853
2.4880000000000	-120.32199108061
2.5120000000000	-120.08867547558
2.5360000000000	-119.85673143467
2.5600000000000	-119.65211830029
2.5840000000000	-119.48470654779
2.6080000000000	-119.34306803248
2.6320000000000	-119.20140003262
2.6560000000000	-119.03488945063
2.6800000000000	-118.83475132561
2.7040000000000	-118.61254324261
2.7280000000000	-118.39078283772
2.7520000000000	-118.18758220801
2.7760000000000	-118.00578272899
2.8000000000000	-117.83209020887
2.8240000000000	-117.64582896364
2.8480000000000	-117.43218643393
2.8720000000000	-117.19154892242
2.8960000000000	-116.93847139141
2.9200000000000	-116.69161583171
2.9440000000000	-116.46232472859
2.9680000000000	-116.24888760582
2.9920000000000	-116.03893790809
3.0160000000000	-115.81799972113
3.0400000000000	-115.57897269134
3.0640000000000	-115.32648649924
3.0880000000000	-115.07343716199
3.1120000000000	-114.83264943569
3.1360000000000	-114.60943915058
3.1600000000000	-114.39926804490
3.1840000000000	-114.19125846587
3.2080000000000	-113.97523700241
3.2320000000000	-113.74800794765
3.2560000000000	-113.51491270752
3.2800000000000	-113.28591761767
3.3040000000000	-113.06918853157
3.3280000000000	-112.86631728854
3.3520000000000	-112.67178238013
3.3760000000000	-112.47661759101
3.4000000000000	-112.27397383135
3.4240000000000	-112.06314034854
3.4480000000000	-111.84953230153
3.4720000000000	-111.64088282991
3.4960000000000	-111.44232923149
3.5200000000000	-111.25344664542
3.5440000000000	-111.06878174489
3.5680000000000	-110.88135505742
3.5920000000000	-110.68693585615
3.6160000000000	-110.48643058960
3.6400000000000	-110.28495124343
3.6640000000000	-110.08835435331
3.6880000000000	-109.89958743778
3.7120000000000	-109.71704448758
3.7360000000000	-109.53574458898
3.7600000000000	-109.35048660463
3.7840000000000	-109.15900246321
3.8080000000000	-108.96315380118
3.8320000000000	-108.76751236048
3.8560000000000	-108.57638156678
3.8800000000000	-108.39120237219
3.9040000000000	-108.20986247426
3.9280000000000	-108.02818813985
3.9520000000000	-107.84261747085
3.9760000000000	-107.65237948649
4.0000000000000	-107.45984658894
4.0240000000000	-107.26893662316
4.0480000000000	-107.08268161925
4.0720000000000	-106.90149753264
4.0960000000000	-106.72313221775
4.1200000000000	-106.54421643867
4.1440000000000	-106.36240830988
